rank,cluster,stock_1,stock_2,crossings,half_life,hedge_ratio,correlation
410,0,wppgy,mco,0,,0.0,
411,0,wppgy,wina,0,,0.0,
412,0,wppgy,fleu,0,,0.0,
413,0,wppgy,hifs,0,,0.0,
414,0,mco,wina,0,,0.0,
415,0,mco,fleu,0,,0.0,
416,0,mco,hifs,0,,0.0,
417,0,wina,fleu,0,,0.0,
418,0,wina,hifs,0,,0.0,
419,0,fleu,hifs,0,,0.0,
420,1,demg,jhmd,0,,0.0,
421,1,demg,erm,0,,0.0,
422,1,demg,vsmv,0,,0.0,
423,1,demg,jpxn,0,,0.0,
424,1,demg,psa_e,0,,0.0,
425,1,demg,rfda,0,,0.0,
426,1,demg,rndv,0,,0.0,
427,1,jhmd,erm,0,,0.0,
428,1,jhmd,vsmv,0,,0.0,
429,1,jhmd,jpxn,0,,0.0,
430,1,jhmd,psa_e,0,,0.0,
431,1,jhmd,rfda,0,,0.0,
432,1,jhmd,rndv,0,,0.0,
433,1,erm,vsmv,0,,0.0,
434,1,erm,jpxn,0,,0.0,
435,1,erm,psa_e,0,,0.0,
436,1,erm,rfda,0,,0.0,
437,1,erm,rndv,0,,0.0,
438,1,vsmv,jpxn,0,,0.0,
439,1,vsmv,psa_e,0,,0.0,
440,1,vsmv,rfda,0,,0.0,
441,1,vsmv,rndv,0,,0.0,
442,1,jpxn,psa_e,0,,0.0,
443,1,jpxn,rfda,0,,0.0,
444,1,jpxn,rndv,0,,0.0,
445,1,psa_e,rfda,0,,0.0,
446,1,psa_e,rndv,0,,0.0,
447,1,rfda,rndv,0,,0.0,
448,7,css,uba,0,,0.0,
449,7,css,ftri,0,,0.0,
450,7,css,grif,0,,0.0,
451,7,css,gsl_b,0,,0.0,
452,7,css,gzt,0,,0.0,
453,7,css,reis,0,,0.0,
454,7,css,mcbc,0,,0.0,
455,7,uba,ftri,0,,0.0,
456,7,uba,grif,0,,0.0,
457,7,uba,gsl_b,0,,0.0,
458,7,uba,gzt,0,,0.0,
459,7,uba,reis,0,,0.0,
460,7,uba,mcbc,0,,0.0,
461,7,ftri,grif,0,,0.0,
462,7,ftri,gsl_b,0,,0.0,
463,7,ftri,gzt,0,,0.0,
464,7,ftri,reis,0,,0.0,
465,7,ftri,mcbc,0,,0.0,
466,7,grif,gsl_b,0,,0.0,
467,7,grif,gzt,0,,0.0,
468,7,grif,reis,0,,0.0,
469,7,grif,mcbc,0,,0.0,
470,7,gsl_b,gzt,0,,0.0,
471,7,gsl_b,reis,0,,0.0,
472,7,gsl_b,mcbc,0,,0.0,
473,7,gzt,reis,0,,0.0,
474,7,gzt,mcbc,0,,0.0,
475,7,reis,mcbc,0,,0.0,
476,9,mft,rous,0,,0.0,
477,9,mft,bbt_e,0,,0.0,
478,9,mft,pei_c,0,,0.0,
479,9,mft,ontl,0,,0.0,
480,9,mft,mtgep,0,,0.0,
481,9,mft,jhmh,0,,0.0,
482,9,mft,mlvf,0,,0.0,
483,9,rous,bbt_e,0,,0.0,
484,9,rous,pei_c,0,,0.0,
485,9,rous,ontl,0,,0.0,
486,9,rous,mtgep,0,,0.0,
487,9,rous,jhmh,0,,0.0,
488,9,rous,mlvf,0,,0.0,
489,9,bbt_e,pei_c,0,,0.0,
490,9,bbt_e,ontl,0,,0.0,
491,9,bbt_e,mtgep,0,,0.0,
492,9,bbt_e,jhmh,0,,0.0,
493,9,bbt_e,mlvf,0,,0.0,
494,9,pei_c,ontl,0,,0.0,
495,9,pei_c,mtgep,0,,0.0,
496,9,pei_c,jhmh,0,,0.0,
